Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
5452000,1.3227183,9.879527,None,None,None,1.0
5453000,1.2762325,9.844337,None,None,None,1.0
5454000,1.3482553,9.78026,None,None,None,1.0
5455000,1.3279774,9.938527,None,None,None,1.0
5456000,1.4432906,9.940006,None,None,None,1.0
5457000,1.3995469,9.925732,None,None,None,1.0
5458000,1.311158,9.856634,None,None,None,1.0
5459000,1.3069357,9.913755,None,None,None,1.0
5460000,1.3067157,9.8592205,None,None,None,1.0
5461000,1.30078,9.942975,None,None,None,1.0
5462000,1.232846,9.886083,None,None,None,1.0
5463000,1.2003021,9.944285,None,None,None,1.0
5464000,1.2519212,9.938944,None,None,None,1.0
5465000,1.3037918,9.8855505,None,None,None,1.0
5466000,1.2859902,9.921974,None,None,None,1.0
5467000,1.1796018,9.960193,None,None,None,1.0
5468000,1.2154454,9.902266,None,None,None,1.0
5469000,1.2789873,9.951716,None,None,None,1.0
5470000,None,9.946961,None,None,None,1.0
5471000,1.3069344,9.902338,None,None,None,1.0
5472000,1.1649107,9.969654,None,None,None,1.0
5473000,1.3280782,9.94267,None,None,None,1.0
5474000,1.3133535,9.955508,None,None,None,1.0
5475000,1.2302126,9.949516,None,None,None,1.0
5476000,1.2313696,9.942896,None,None,None,1.0
5477000,1.2665503,9.574142,3599.0,358.9800453186035,358.9800453186035,1.0
5478000,1.2368,9.945234,None,None,None,1.0
5479000,1.2859921,9.92467,3433.0,None,None,1.0
5480000,1.389424,9.940946,None,None,None,1.0
5481000,1.2574517,9.918187,None,None,None,1.0
5482000,1.3689653,9.020554,None,342.360050201416,342.360050201416,1.0
5483000,1.2819984,9.925447,None,None,None,1.0
5484000,1.3188722,9.942799,None,None,None,1.0
5485000,1.2193476,9.915906,None,None,None,1.0
5486000,1.1250718,9.913719,None,None,None,1.0
5487000,1.1758676,9.860721,None,None,None,1.0
5488000,1.2446727,9.923999,None,None,None,1.0
5489000,1.2428683,8.678163,4129.0,411.9800605773926,411.9800605773926,1.0
5490000,1.2776821,9.942876,None,None,None,1.0
5491000,1.2343322,9.943349,3166.0,None,None,1.0
5492000,1.2420678,9.869778,None,None,None,1.0
5493000,1.2175239,8.552827,None,315.7000484466553,315.7000484466553,1.0
5494000,1.1776338,9.914139,None,None,None,1.0
5495000,1.2143116,9.89678,None,None,None,1.0
5496000,1.2650951,9.924965,None,None,None,1.0
5497000,1.2855172,9.931289,None,None,None,1.0
5498000,1.2744945,9.93056,None,None,None,1.0
5499000,1.3009177,9.941267,None,None,None,1.0
5500000,1.2059073,9.93027,None,None,None,1.0
